T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
31.6,36.8,25.9,1001.5,63,2.4,3.9,11.1,71.66666666666667
31.6,36.8,25.9,1001.5,63,2.4,3.9,11.1,71.66666666666667
31.6,36.8,25.9,1001.5,63,2.4,3.9,11.1,71.66666666666667
31.6,36.8,25.9,1001.5,63,2.4,3.9,11.1,71.66666666666667
29.9,36.2,23.4,1002.5,66,1.9,1.9,7.6,69.70833333333333
29.9,36.2,23.4,1002.5,66,1.9,1.9,7.6,69.70833333333333
29.9,36.2,23.4,1002.5,66,1.9,1.9,7.6,69.70833333333333
29.9,36.2,23.4,1002.5,66,1.9,1.9,7.6,69.70833333333333
29.9,36.2,23.4,1002.5,66,1.9,1.9,7.6,69.70833333333333
29.9,36.2,23.4,1002.5,66,1.9,1.9,7.6,69.70833333333333
29.9,36.2,23.4,1002.5,66,1.9,1.9,7.6,69.70833333333333
29.9,36.2,23.4,1002.5,66,1.9,1.9,7.6,69.70833333333333
29.9,36.2,23.4,1002.5,66,1.9,1.9,7.6,69.70833333333333
28.7,34.1,25.2,1002.9,76,1.9,9.6,51.9,62.375
28.7,34.1,25.2,1002.9,76,1.9,9.6,51.9,62.375
28.7,34.1,25.2,1002.9,76,1.9,9.6,51.9,62.375
28.7,34.1,25.2,1002.9,76,1.9,9.6,51.9,62.375
28.7,34.1,25.2,1002.9,76,1.9,9.6,51.9,62.375
28.7,34.1,25.2,1002.9,76,1.9,9.6,51.9,62.375
28.7,34.1,25.2,1002.9,76,1.9,9.6,51.9,62.375
28.7,34.1,25.2,1002.9,76,1.9,9.6,51.9,62.375
28.7,34.1,25.2,1002.9,76,1.9,9.6,51.9,62.375
26.3,34.1,24.0,1003.4,87,1.9,6.1,11.1,24.875
26.3,34.1,24.0,1003.4,87,1.9,6.1,11.1,24.875
26.3,34.1,24.0,1003.4,87,1.9,6.1,11.1,24.875
26.3,34.1,24.0,1003.4,87,1.9,6.1,11.1,24.875
26.3,34.1,24.0,1003.4,87,1.9,6.1,11.1,24.875
26.3,34.1,24.0,1003.4,87,1.9,6.1,11.1,24.875
26.3,34.1,24.0,1003.4,87,1.9,6.1,11.1,24.875
26.3,34.1,24.0,1003.4,87,1.9,6.1,11.1,24.875
26.3,34.1,24.0,1003.4,87,1.9,6.1,11.1,24.875
28.6,35.6,25.3,1005.4,79,2.6,5.7,13,43.95833333333334
28.6,35.6,25.3,1005.4,79,2.6,5.7,13,43.95833333333334
28.6,35.6,25.3,1005.4,79,2.6,5.7,13,43.95833333333334
28.6,35.6,25.3,1005.4,79,2.6,5.7,13,43.95833333333334
28.6,35.6,25.3,1005.4,79,2.6,5.7,13,43.95833333333334
28.6,35.6,25.3,1005.4,79,2.6,5.7,13,43.95833333333334
28.6,35.6,25.3,1005.4,79,2.6,5.7,13,43.95833333333334
28.6,35.6,25.3,1005.4,79,2.6,5.7,13,43.95833333333334
28.6,35.6,25.3,1005.4,79,2.6,5.7,13,43.95833333333334
28.6,34.5,24.0,1006.7,81,1.9,3.9,9.4,41.5
28.6,34.5,24.0,1006.7,81,1.9,3.9,9.4,41.5
28.6,34.5,24.0,1006.7,81,1.9,3.9,9.4,41.5
28.6,34.5,24.0,1006.7,81,1.9,3.9,9.4,41.5
28.6,34.5,24.0,1006.7,81,1.9,3.9,9.4,41.5
28.6,34.5,24.0,1006.7,81,1.9,3.9,9.4,41.5
28.6,34.5,24.0,1006.7,81,1.9,3.9,9.4,41.5
28.6,34.5,24.0,1006.7,81,1.9,3.9,9.4,41.5
28.6,34.5,24.0,1006.7,81,1.9,3.9,9.4,41.5
29.0,34.2,24.3,1005.8,76,1.9,7.4,20.6,38.79166666666666
29.0,34.2,24.3,1005.8,76,1.9,7.4,20.6,38.79166666666666
29.0,34.2,24.3,1005.8,76,1.9,7.4,20.6,38.79166666666666
29.0,34.2,24.3,1005.8,76,1.9,7.4,20.6,38.79166666666666
29.0,34.2,24.3,1005.8,76,1.9,7.4,20.6,38.79166666666666
29.0,34.2,24.3,1005.8,76,1.9,7.4,20.6,38.79166666666666
29.0,34.2,24.3,1005.8,76,1.9,7.4,20.6,38.79166666666666
29.0,34.2,24.3,1005.8,76,1.9,7.4,20.6,38.79166666666666
29.0,34.2,24.3,1005.8,76,1.9,7.4,20.6,38.79166666666666
29.1,34.0,23.8,1007.8,72,1.9,6.5,13,30.33333333333333
29.1,34.0,23.8,1007.8,72,1.9,6.5,13,30.33333333333333
29.1,34.0,23.8,1007.8,72,1.9,6.5,13,30.33333333333333
29.1,34.0,23.8,1007.8,72,1.9,6.5,13,30.33333333333333
29.1,34.0,23.8,1007.8,72,1.9,6.5,13,30.33333333333333
29.1,34.0,23.8,1007.8,72,1.9,6.5,13,30.33333333333333
29.1,34.0,23.8,1007.8,72,1.9,6.5,13,30.33333333333333
29.1,34.0,23.8,1007.8,72,1.9,6.5,13,30.33333333333333
29.1,34.0,23.8,1007.8,72,1.9,6.5,13,30.33333333333333
28.9,34.9,25.6,1009.5,68,2.6,7.6,13,26.66666666666667
28.9,34.9,25.6,1009.5,68,2.6,7.6,13,26.66666666666667
28.9,34.9,25.6,1009.5,68,2.6,7.6,13,26.66666666666667
28.9,34.9,25.6,1009.5,68,2.6,7.6,13,26.66666666666667
28.9,34.9,25.6,1009.5,68,2.6,7.6,13,26.66666666666667
28.9,34.9,25.6,1009.5,68,2.6,7.6,13,26.66666666666667
28.9,34.9,25.6,1009.5,68,2.6,7.6,13,26.66666666666667
28.9,34.9,25.6,1009.5,68,2.6,7.6,13,26.66666666666667
28.9,34.9,25.6,1009.5,68,2.6,7.6,13,26.66666666666667
27.9,33.7,23.2,1008.4,67,2.6,10.0,14.8,29.0
27.9,33.7,23.2,1008.4,67,2.6,10.0,14.8,29.0
27.9,33.7,23.2,1008.4,67,2.6,10.0,14.8,29.0
27.9,33.7,23.2,1008.4,67,2.6,10.0,14.8,29.0
27.9,33.7,23.2,1008.4,67,2.6,10.0,14.8,29.0
27.9,33.7,23.2,1008.4,67,2.6,10.0,14.8,29.0
27.9,33.7,23.2,1008.4,67,2.6,10.0,14.8,29.0
27.9,33.7,23.2,1008.4,67,2.6,10.0,14.8,29.0
27.9,33.7,23.2,1008.4,67,2.6,10.0,14.8,29.0
29.4,34.5,24.3,1009.1,73,1.8,1.3,3.5,61.70833333333334
29.4,34.5,24.3,1009.1,73,1.8,1.3,3.5,61.70833333333334
29.4,34.5,24.3,1009.1,73,1.8,1.3,3.5,61.70833333333334
29.4,34.5,24.3,1009.1,73,1.8,1.3,3.5,61.70833333333334
29.4,34.5,24.3,1009.1,73,1.8,1.3,3.5,61.70833333333334
29.4,34.5,24.3,1009.1,73,1.8,1.3,3.5,61.70833333333334
29.4,34.5,24.3,1009.1,73,1.8,1.3,3.5,61.70833333333334
29.4,34.5,24.3,1009.1,73,1.8,1.3,3.5,61.70833333333334
29.4,34.5,24.3,1009.1,73,1.8,1.3,3.5,61.70833333333334
30.1,34.5,24.8,1010.0,72,1.8,1.5,7.6,60.54166666666666
30.1,34.5,24.8,1010.0,72,1.8,1.5,7.6,60.54166666666666
30.1,34.5,24.8,1010.0,72,1.8,1.5,7.6,60.54166666666666
30.1,34.5,24.8,1010.0,72,1.8,1.5,7.6,60.54166666666666
30.1,34.5,24.8,1010.0,72,1.8,1.5,7.6,60.54166666666666
30.1,34.5,24.8,1010.0,72,1.8,1.5,7.6,60.54166666666666
30.1,34.5,24.8,1010.0,72,1.8,1.5,7.6,60.54166666666666
30.1,34.5,24.8,1010.0,72,1.8,1.5,7.6,60.54166666666666
30.1,34.5,24.8,1010.0,72,1.8,1.5,7.6,60.54166666666666
30.1,35.6,24.8,1010.5,72,2.1,4.6,11.1,41.583333333333336
30.1,35.6,24.8,1010.5,72,2.1,4.6,11.1,41.583333333333336
30.1,35.6,24.8,1010.5,72,2.1,4.6,11.1,41.583333333333336
30.1,35.6,24.8,1010.5,72,2.1,4.6,11.1,41.583333333333336
30.1,35.6,24.8,1010.5,72,2.1,4.6,11.1,41.583333333333336
30.1,35.6,24.8,1010.5,72,2.1,4.6,11.1,41.583333333333336
30.1,35.6,24.8,1010.5,72,2.1,4.6,11.1,41.583333333333336
30.1,35.6,24.8,1010.5,72,2.1,4.6,11.1,41.583333333333336
30.1,35.6,24.8,1010.5,72,2.1,4.6,11.1,41.583333333333336
27.4,33.1,22.8,1008.0,85,1.6,0.4,3.5,80.04166666666667
27.4,33.1,22.8,1008.0,85,1.6,0.4,3.5,80.04166666666667
27.4,33.1,22.8,1008.0,85,1.6,0.4,3.5,80.04166666666667
27.4,33.1,22.8,1008.0,85,1.6,0.4,3.5,80.04166666666667
27.4,33.1,22.8,1008.0,85,1.6,0.4,3.5,80.04166666666667
27.4,33.1,22.8,1008.0,85,1.6,0.4,3.5,80.04166666666667
27.4,33.1,22.8,1008.0,85,1.6,0.4,3.5,80.04166666666667
27.4,33.1,22.8,1008.0,85,1.6,0.4,3.5,80.04166666666667
27.4,33.1,22.8,1008.0,85,1.6,0.4,3.5,80.04166666666667
27.5,32.5,23.0,1007.1,80,1.8,6.1,18.3,82.83333333333333
27.5,32.5,23.0,1007.1,80,1.8,6.1,18.3,82.83333333333333
